ID,Title,Year,Age,IMDb,Rotten Tomatoes,Runtime
6669,Neurons to Nirvana,2013,,7.7,,85
6670,Spanish Lake,2014,all,6.5,80%,79
6671,Ok Jaanu,2017,7+,5.2,38%,135
6672,Escape Plan: The Extractors,2019,18+,4.4,27%,97
6673,Fake It So Real,2012,,6.5,91%,95
6674,Colin Quinn: Long Story Short,2011,18+,7.9,,83
6675,1 Night,2017,13+,5.8,33%,80
6676,Addicted,2002,,6.9,,106
6677,Oblivion Verses,2018,,6.6,83%,92
6678,Beautiful Something,2015,,6.3,57%,97
6679,Preservation,2014,,4.7,58%,90
6680,So Undercover,2012,13+,5,6%,94
6681,Entanglement,2018,,5.8,62%,85
6682,My Lucky Stars,1985,13+,6.5,,96
6683,Lapland Odyssey,2010,,6.9,,92
6684,Seethamma Vakitlo Sirimalle Chettu,2013,all,7.5,,159
6685,G.I. Blues,1960,7+,6.3,,104
6686,Meet the Mormons,2014,7+,6.9,18%,78
6687,Fanny,2013,,6.8,56%,134
6688,Ten Little Indians,1965,7+,6.7,,91
6689,Asterix the Gaul,1967,all,6.6,,68
6690,Cavemen,2013,18+,5.3,14%,88
6691,Grave Encounters 2,2012,18+,5.1,20%,95
6692,Camp Takota,2014,13+,6.8,,95
6693,The Atoning,2017,18+,4.1,60%,89
6694,Dedh Ishqiya,2014,18+,7.1,,152
6695,The Mend,2014,,5.6,78%,111
6696,New York Doll,2005,13+,7.7,90%,75
6697,Patch Town,2014,,5.6,75%,85
6698,Griffin & Phoenix,2006,13+,7,,102
6699,Gigantic,2008,18+,6,36%,
6700,The Final Season,2007,7+,6.6,24%,119
6701,Free the Mind,2013,,6.3,75%,80
6702,How the Beatles Changed the World,2017,7+,6.8,,90
6703,With Great Power - The Stan Lee Story,2010,,7.2,,80
6704,Steel City,2006,18+,6.5,83%,95
6705,The Amateurs,2005,18+,6.3,19%,96
6706,The Ghoul,2017,18+,5.6,77%,88
6707,The Devil's Violinist,2013,18+,6.1,31%,122
6708,Unfinished Business,2015,18+,5.4,10%,91
6709,Ticked-Off Trannies with Knives,2010,,5.5,67%,90
6710,The Princess and the Pilot,2011,,7.1,,99
6711,The Seduction of Mimi,1972,18+,7.4,,121
6712,The Good Catholic,2017,13+,5.2,42%,98
6713,Keeping Rosy,2014,,6.4,64%,89
6714,Time Traveller: The Girl Who Leapt Through Time,2010,,6.5,,122
6715,Thaanaa Serndha Koottam,2018,,6.8,,138
6716,Nate & Margaret,2012,,6.2,78%,80
6717,Shubh Mangal Zyada Saavdhan,2020,,5.9,,117
6718,Crazy Mama,1975,7+,5.5,88%,83
6719,Pitfall,1948,,7.2,,86
6720,A Simple Curve,2005,,6.6,63%,92
6721,The Coca-Cola Kid,1985,18+,6,44%,98
6722,Vazhakku Enn 18/9,2012,,8.3,,124
6723,Ajab Prem Ki Ghazab Kahani,2009,7+,6.3,,150
6724,Mr 420,1955,all,8,,
6725,All About the Money,2017,16+,5.8,,95
6726,Uttama Villain,2015,,7.2,,171
6727,Slice,2018,18+,4.5,57%,83
6728,Dearest,2014,,7.6,,128
6729,Message Man,2018,,6.1,,91
6730,Nora,2000,18+,6,64%,106
6731,The Challenger Disaster,2019,,6.5,,98
6732,Kaagaz Ke Phool,1959,,8,,148
6733,For Grace,2015,,7.3,,92
6734,Play the Game,2009,13+,6.4,27%,105
6735,Combat Girls,2011,,6.8,,103
6736,God of Love,2010,,7.6,,18
6737,Friends (With Benefits),2010,,5.2,68%,94
6738,Dakota Skye,2008,18+,6.6,,89
6739,Bruno,2000,13+,6.1,20%,81
6740,The Sheik,2014,,7.1,,86
6741,Genius on Hold,2013,7+,7,83%,91
6742,Hey Hey It's Esther Blueburger,2008,13+,6.3,50%,103
6743,Vice Squad,1953,,6.6,60%,97
6744,Blueberry,2004,18+,5.2,22%,124
6745,The Yellow Wallpaper,2011,,6.8,,80
6746,Fine Dead Girls,2002,,7.2,,77
6747,Illuminata,1998,18+,6.1,40%,119
6748,The Secret Diaries of Miss Anne Lister,2010,16+,7,,92
6749,Freeway II: Confessions of a Trickbaby,1999,18+,5.7,30%,97
6750,Road to Nowhere,2010,18+,5.4,73%,25
6751,Edie & Thea: A Very Long Engagement,2009,,7.9,,61
6752,Robot Overlords,2015,13+,4.6,61%,90
6753,Tower Block,2012,18+,5.9,47%,90
6754,Bait,2000,18+,5.8,26%,93
6755,My Father And The Man In Black,2013,,6.5,65%,87
6756,Firaaq,2009,7+,7.4,,101
6757,The End of Love,2013,,5.9,59%,89
6758,Space Pirate Captain Harlock: Arcadia of My Youth,1982,,7.2,,130
6759,Sennentuntschi,2010,,6.5,,115
6760,Zenith,2010,,6.4,55%,93
6761,Thamizh Padam,2010,,7.3,,160
6762,Girltrash: All Night Long,2014,,6.4,,86
6763,The Last Warrior,2017,7+,6.5,,107
6764,Buddy,2003,,6.8,,84
6765,Around the Block,2013,,5.9,63%,104
6766,Angry Video Game Nerd: The Movie,2014,,5.6,,115
6767,Unraveled,2012,,6.2,64%,
6768,Everyday People,2004,18+,6.5,67%,111
6769,Robot Carnival,1987,,7,,90
6770,Dead Heat,1988,18+,6.1,11%,86
6771,The House by the Sea,2017,,6.5,91%,107
6772,Walt Before Mickey,2015,all,5.9,17%,107
6773,Bang Bang Baby,2014,16+,5,67%,90
6774,Day of Anger,1967,,7.1,,111
6775,Tilt,2017,,4.9,75%,111
6776,Final Girl,2015,18+,4.7,31%,90
6777,Unforgettable,1996,18+,6,21%,60
6778,Camila,1984,18+,6.9,,107
6779,Wild Bill,1995,18+,5.9,42%,98
6780,Falling Overnight,2011,18+,6.7,40%,86
6781,Happiness Continues,2020,,7.5,,104
6782,Desert Blue,1999,18+,6.2,37%,90
6783,Guncrazy,1992,18+,5.5,63%,97
6784,The Twilight of the Golds,1996,13+,6.5,43%,92
6785,All I See Is You,2017,18+,5.4,27%,109
6786,Pressure,2015,18+,5.6,38%,91
6787,The Girl,2012,13+,6.2,53%,91
6788,Entertaining Angels - The Dorothy Day Story,1996,13+,6.1,50%,110
6789,Out of the Blue,2002,,7.7,,94
6790,Hostile Border,2015,18+,5.4,67%,88
6791,Sweet Rush,2009,18+,6.4,,85
6792,Maine Pyar Kiya,1989,,7.3,,192
6793,The Curiosity of Chance,2006,,6.6,,98
6794,Hank and Asha,2014,,6.5,63%,73
6795,Walter,2015,18+,5.3,54%,94
6796,The Memphis Belle: A Story of a Flying Fortress,1944,,7.3,,45
6797,Nostradamus,1994,18+,5.8,38%,119
6798,Grand Theft Parsons,2004,13+,6,46%,88
6799,Swimfan,2002,13+,5.1,15%,85
6800,Kung Fu Elliot,2014,,6.4,86%,81
6801,The Million Pound Note,1954,7+,6.9,,90
6802,Discreet,2017,,4.8,78%,82
6803,Warm Springs,2005,7+,7.5,,121
6804,The Living Wake,2007,13+,6.3,50%,91
6805,Businessman,2012,,7.1,,
6806,In a Year with 13 Moons,1978,,7.5,69%,124
6807,War on Whistleblowers: Free Press and the National Security State,2013,,7.5,60%,67
6808,Breaking & Exiting,2018,,5.6,,78
6809,The Revival,2017,18+,5.4,78%,85
6810,The Legend of the Holy Drinker,1988,,7.2,,128
6811,Animal,2014,,4.7,43%,84
6812,Anguish,2015,18+,4.5,62%,86
6813,Bleeding Steel,2017,18+,5.2,22%,109
6814,Flytrap,2014,,7.2,,81
6815,Christmas Story,2007,7+,7,,94
6816,Naked as We Came,2013,,6.2,,87
6817,Duel to the Death,1983,18+,7.2,,86
6818,Where the Lilies Bloom,1974,all,7.2,,98
6819,Why We Fight: The Nazis Strike,1943,,7.1,,41
6820,Paris Was a Woman,1996,,7.4,60%,75
6821,For Ellen,2012,,6,67%,94
6822,The Adventurer: The Curse of the Midas Box,2013,7+,5.4,20%,100
6823,Shot,2017,,5.3,56%,86
6824,Lad: A Yorkshire Story,2013,,7.9,,96
6825,Female Prisoner Scorpion: Beast Stable,1973,,7,,87
6826,Google and the World Brain,2013,,6.7,60%,90
6827,Süskind,2012,,6.9,,118
6828,Plastic China,2016,13+,7.7,,82
6829,The Object of Beauty,1991,18+,5.6,77%,103
6830,Milton's Secret,2016,7+,5.8,38%,88
6831,George Carlin: What Am I Doing in New Jersey?,1988,,8.2,,61
6832,Kill Your Friends,2015,,6,23%,103
6833,Betrayed,2018,,5.5,,67
6834,1981,2009,,7.2,,102
6835,Sundown,2016,18+,5.4,9%,103
6836,Kid with the Golden Arm,1979,18+,7.1,,
6837,Dead or Alive 2: Birds,2000,,6.8,,97
6838,Steven Banks: Home Entertainment Center,1989,,9.3,,60
6839,Cut Snake,2015,18+,5.8,69%,94
6840,Leon The Pig Farmer,1993,,5.6,83%,104
6841,Peter Gabriel: Secret World Live,1993,all,8.9,,102
6842,In Pursuit of Honor,1995,13+,7.2,,125
6843,Tara Road,2005,7+,6,40%,97
6844,"Inner Worlds, Outer Worlds",2012,,8.6,,122
6845,CodeGirl,2015,all,6.3,60%,107
6846,Accidentally Engaged,2016,7+,5.8,,86
6847,England Is Mine,2017,,5.9,52%,94
6848,The Ladies Man,2000,18+,5.2,11%,84
6849,Life Without Principle,2011,,6.9,,107
6850,A Midsummer Night's Dream,2017,,5.5,65%,116
6851,Blackball,2003,18+,5.6,41%,96
6852,Shinjuku Triad Society,1995,18+,6.7,,100
6853,Adieu Galaxy Express 999,1981,16+,7,,135
6854,Knockabout,1979,13+,7.3,,92
6855,House II: The Second Story,1987,13+,5.4,8%,88
6856,Starstruck,1982,7+,7,,90
6857,Atlas Shrugged: Part II,2012,13+,5.4,4%,111
6858,Desert Runners,2013,13+,7.6,,99
6859,The Frame,2014,,6.7,,127
6860,American Renegades,2017,13+,5.4,11%,106
6861,Cherry Tree Lane,2010,18+,4.9,61%,77
6862,Good,2008,18+,6.2,32%,92
6863,The Duke Is Tops,1938,,5.5,60%,73
6864,Vegucated,2011,,7.2,,76
6865,Stark Raving Mad,2002,18+,6.4,20%,30
6866,Attack of the Crab Monsters,1957,,4.9,67%,62
6867,Strangerland,2015,18+,5.2,41%,112
6868,Immortal Demon Slayer,2017,,5.8,,123
6869,Werner Herzog Eats His Shoe,1980,,7.2,,20
6870,Martyr,2018,18+,6.3,,174
6871,Blood Ransom,2014,18+,4.6,20%,101
6872,Hick,2011,18+,5.6,5%,99
6873,Eating Out: All You Can Eat,2009,,5.8,17%,80
6874,Mad Cowgirl,2006,,5.4,33%,89
6875,Muse,2017,,5.4,13%,96
6876,Nurse.Fighter.Boy,2009,,6.3,80%,93
6877,Hello Guru Prema Kosame,2018,,7.1,,140
6878,Two Acres of Land,1953,,8.4,,131
6879,Small Time,2014,18+,6,54%,104
6880,Almost an Angel,1990,7+,5.6,29%,95
6881,All Summers End,2017,16+,6,20%,90
6882,Madonna: Sticky & Sweet Tour,2010,,8.5,,130
6883,Radio Free Albemuth,2010,18+,5.6,36%,111
6884,Blood and Chocolate,2007,13+,5.5,11%,98
6885,Our Love Story,2016,,6.8,,99
6886,Mashaal,1984,all,7.4,,162
6887,Sabata,1969,13+,6.8,,111
6888,The Railway Children,2000,,7.3,,109
6889,17 Miracles,2011,7+,6.3,,113
6890,Bite,2015,,4.9,58%,88
6891,A Bird of the Air,2011,13+,6.6,30%,108
6892,Fukrey Returns,2017,,6.5,14%,141
6893,The Ultimate Life,2013,7+,5.8,18%,105
6894,Fanney Khan,2018,,4.5,63%,130
6895,For Pete's Sake,1974,7+,6.2,50%,90
6896,Coin Locker Girl,2015,,6.7,,110
6897,Heaven,1987,13+,6.8,60%,88
6898,High Fantasy,2017,13+,4.5,75%,71
6899,The Arrested Development Documentary Project,2013,,6.7,,75
6900,Original Gangstas,1996,18+,5.7,53%,99
6901,1000 To 1,2014,,7,,99
6902,Ditto,2000,,7.1,,110
6903,"Lewis Black: Red, White & Screwed",2006,18+,7.8,,60
6904,Beyond The Sky,2018,,5.8,,82
6905,Two Ninas,2000,18+,6.1,67%,88
6906,Song One,2015,13+,5.8,33%,86
6907,Day Dreams,1922,,6.9,,23
6908,Harlequin,1980,7+,6.2,40%,95
6909,Marfa Girl,2012,,5.3,27%,105
6910,Higher,2014,all,7.7,,95
6911,Uncertain Terms,2014,,5.8,71%,75
6912,Kill Chain,2019,18+,5,,91
6913,The Great Gabbo,1929,,6.1,67%,92
6914,Redbad,2018,,5.4,,160
6915,"Tad, the Lost Explorer",2012,7+,5.9,,92
6916,Marius,2013,,6.7,50%,130
6917,PressPausePlay,2011,,7.5,,80
6918,The Hollow Point,2016,18+,5.4,36%,97
6919,The Homestretch,2014,,6.7,63%,99
6920,Michael Jordan: Come Fly with Me,1989,,8.1,,42
6921,Matango,1963,,6.5,,89
6922,Masti,2004,18+,6.2,,166
6923,Reclaiming the Blade,2009,,8.3,,90
6924,I Am Secretly An Important Man,2010,,6.6,67%,87
6925,Go Further,2003,,6.5,59%,100
6926,What Remains,2005,,7.9,,240
6927,Gotti,2018,18+,4.8,,112
6928,Chalti Ka Naam Gaadi,1958,,8,,173
6929,Mary and Martha,2013,7+,6.9,,95
6930,Days of Grace,2011,,6.7,65%,133
6931,"Lipstick & Dynamite, Piss & Vinegar: The First Ladies of Wrestling",2005,,6.9,63%,83
6932,George Carlin: Carlin on Campus,1984,,8.1,,60
6933,Crazy As Hell,2002,18+,5.9,53%,113
6934,Sassy Pants,2012,18+,6.2,50%,88
6935,Etoiles: Dancers of the Paris Opera Ballet,2001,,7.2,62%,100
6936,Goodbye World,2013,,5.5,27%,99
6937,Heart of the Dragon,1985,18+,6.5,,98
6938,Kill Me Later,2001,18+,6.3,26%,89
6939,Strange Wilderness,2008,18+,5.3,2%,87
6940,Mister Rogers: It's You I Like,2018,7+,8.3,,58
6941,Chongqing Hot Pot,2016,,6.6,30%,94
6942,Conduct Unbecoming,1975,7+,6.5,60%,107
6943,The Evening Star,1996,13+,5.9,22%,129
6944,Blue Gold: World Water Wars,2008,7+,7.7,,90
6945,The Woman in the Fifth,2011,18+,5.3,59%,84
6946,Just Write,1997,13+,6.3,50%,102
6947,Dirty Ho,1979,18+,7.1,,97
6948,Class of Nuke 'Em High,1986,18+,5.7,20%,85
6949,A Good Marriage,2014,18+,5.2,32%,102
6950,Man Vs.,2015,,5.6,50%,87
6951,A Night in Old Mexico,2013,,5.7,43%,103
6952,Houdini,2014,16+,7.4,,174
6953,Kabul Express,2006,7+,6.8,,105
6954,Antboy,2013,7+,5.2,43%,77
6955,Home of the Brave,2006,18+,5.6,23%,106
6956,Drunks,1997,18+,6.4,57%,90
6957,Cops vs. Thugs,1975,,7.2,,100
6958,Yamadonga,2007,,7.3,,185
6959,Under an Arctic Sky,2017,,7,,39
6960,The Strange Woman,1946,,6.7,40%,100
6961,Elephant,1989,,7.1,,81
6962,Leo's Room,2010,,6.5,,95
6963,Only When I Laugh,1981,18+,6.4,57%,30
6964,Raid on Entebbe,1976,,6.8,,145
6965,Sea Prince and the Fire Child,1981,,7,,108
6966,The Last Descent,2016,7+,5.3,,105
6967,Electra,1962,,7.6,,173
6968,Fearless Hyena,1979,18+,6.7,,92
6969,Rendez-Vous,2015,,5.8,,100
6970,Tashi and the Monk,2015,7+,8.1,,39
6971,A Little Trip to Heaven,2005,18+,6,33%,98
6972,Unity,2015,13+,7.4,,99
6973,Strays,1997,18+,5.6,40%,105
6974,The Chaperone,2011,13+,5,29%,103
6975,Monster Camp,2007,16+,6.6,64%,81
6976,Cast a Deadly Spell,1991,18+,6.5,,96
6977,Until Forever,2016,,6.3,,100
6978,I Walk the Line,1970,13+,6.6,,97
6979,Disco Dancer,1982,13+,6.4,,135
6980,Savage Streets,1984,18+,6.3,,93
6981,The City of Your Final Destination,2009,13+,6.3,39%,117
6982,Rhymes for Young Ghouls,2013,18+,6.5,,88
6983,Aya,2012,16+,7.2,,40
6984,The Penguin King,2012,7+,6.7,54%,78
6985,Copwatch,2017,,5.2,56%,95
6986,"Bruce Lee, My Brother",2010,,6.5,,129
6987,Redemption Road,2011,13+,5.7,57%,91
6988,If so,2003,all,8.1,,80
6989,Citizen Koch,2013,,6.6,54%,90
6990,Why We Ride,2013,7+,7.6,,89
6991,Befikre,2016,13+,3.9,30%,130
6992,Ben Hur,2003,,7,,212
6993,Black Ruby,2017,,7.2,,91
6994,Master,2016,,6.5,,138
6995,The Last Broadcast,1998,,5.3,44%,86
6996,Khiladi,1992,,7.2,,157
6997,Ovum,2015,,8,,17
6998,Bey Yaar,2014,7+,8.5,,150
6999,Morlang,2001,,6.3,56%,94
7000,Mourning Son,2015,,8.1,,107
7001,If I Were You,2013,18+,7,13%,115
7002,The 25th Anniversary Rock and Roll Hall of Fame Concerts,2009,,8.7,,255
7003,Escape from Firebase Kate,2015,,9,,60
7004,Mom at Sixteen,2005,16+,6.7,,90
7005,Project A-Ko,1986,,7,,86
7006,Skirt Day,2008,,6.9,,87
7007,Maayavan,2017,,7.3,,129
7008,Falling Angels,2003,,6.7,63%,109
7009,Don't Worry Baby,2016,18+,5.3,57%,88
7010,Love Is All You Need?,2016,,6.3,,121
7011,The Dungeon Masters,2008,,6,80%,87
7012,Who Is Cletis Tout?,2001,18+,6.3,23%,92
7013,Annamalai,1992,,7.7,,164
7014,Air,2015,13+,5.1,17%,95
7015,The White Meadows,2009,,7.5,,92
7016,Age of Heroes,2011,18+,5.6,40%,90
7017,Sidekick,2005,,5.3,100%,15
7018,X/Y,2014,,4.2,50%,82
7019,The Little Traitor,2009,7+,6.9,41%,88
7020,Coming To My Senses,2017,,7.2,80%,85
7021,Geronimo,1962,7+,5.8,80%,115
7022,All Mistakes Buried,2015,,4.9,67%,84
7023,Executioners from Shaolin,1977,18+,7,,98
7024,Molly,1999,13+,5.8,14%,85
7025,Gehenna: Where Death Lives,2016,18+,4.9,50%,105
7026,As I Lay Dying,2013,18+,5.4,38%,110
7027,The New Radical,2017,,6.5,58%,117
7028,The Rolling Stones: Sweet Summer Sun - Hyde Park Live,2013,,8.1,,121
7029,Furious,2017,,6.2,,107
7030,Beyond the Time Barrier,1960,,5.3,60%,75
7031,Brothers of the Wind,2015,all,6.8,,98
7032,The Freebie,2010,18+,5.1,57%,78
7033,The Lady Without Camelias,1953,,7.1,88%,101
7034,Affinity,2008,,6.2,,120
7035,Shortwave,2016,18+,4.3,,85
7036,Saaransh,1984,13+,8.2,,137
7037,Sherlock Holmes and the Secret Weapon,1942,,6.6,,68
7038,Four Seasons Lodge,2008,,6.9,88%,97
7039,Vessel,2014,,7.6,,14
7040,Duelle,1976,,7.3,,121
7041,Sodom and Gomorrah,1962,all,5.7,50%,154
7042,Germans & Jews,2016,,7.6,100%,76
7043,The Aryan Couple,2004,13+,6.3,12%,120
7044,Jackals,2017,,5.1,44%,85
7045,Beacon Point,2016,,5.7,,85
7046,PlantPure Nation,2015,,7.5,,95
7047,And While We Were Here,2013,18+,5.8,43%,83
7048,After the Ball,2015,,5.9,27%,101
7049,YellowBrickRoad,2010,18+,4.7,50%,98
7050,The Falls: Testament Of Love,2013,18+,6.5,,123
7051,The Japanese Wife,2010,,7.6,,105
7052,Safe House,1998,,7,,115
7053,The Phoenix Incident,2015,,5,50%,81
7054,Black Moon Rising,1986,18+,5.5,38%,100
7055,Mithya,2008,,7.1,,110
7056,Desert Saints,2002,18+,6,29%,88
7057,Rage,2014,18+,5,12%,91
7058,Faith Connections,2013,,7.5,40%,115
7059,Tarzan of the Apes,1918,,5.7,83%,73
7060,Bank Chor,2017,7+,5.9,20%,120
7061,Jack and the Beanstalk,1952,,6,43%,94
7062,Riders,2002,18+,5.5,29%,83
7063,Gunde Jaari Gallanthayyinde,2013,7+,7.1,,150
7064,Transylvania 6-5000,1985,7+,5,18%,93
7065,Under The Greenwood Tree,2005,,6.9,,93
7066,All the Wilderness,2014,,5.8,60%,85
7067,Shine,2017,18+,4.7,50%,105
7068,Khamoshi: The Musical,1996,,7.5,,159
7069,Castles in the Sky,2014,,6.8,67%,90
7070,Alien Trespass,2009,7+,5.7,36%,90
7071,Ley Lines,1999,,6.9,,105
7072,Zorro,1975,all,6.6,,136
7073,King's Faith,2013,13+,6.4,,108
7074,Sins of My Father,2009,,7.2,,94
7075,Anukokunda Oka Roju,2005,,8,,145
7076,Exte: Hair Extensions,2007,18+,6.3,,108
7077,The Perfect Stranger,2005,all,6.7,,90
7078,Not Wanted,1949,,6.9,80%,91
7079,Theevram,2012,,6.5,,135
7080,The Tamarind Seed,1974,7+,6.4,,125
7081,The Piper,2015,13+,6.3,,119
7082,Key of Life,2012,,7.4,,112
7083,The David Dance,2015,,7.4,33%,108
7084,Schweigeminute,2016,,7.2,,89
7085,RWBY: Volume 3,2016,13+,8.7,,173
7086,Clancy,2009,,6.9,,119
7087,Somewhere Else Tomorrow,2013,13+,7.5,,107
7088,House Arrest,1996,7+,5.8,10%,108
7089,The Cat Came Back,1988,,7.5,,7
7090,The Baker,2007,13+,6.4,14%,86
7091,Five Fingers of Death,1972,18+,7.1,,105
7092,Retake,2016,,6.5,,98
7093,Bombay to Goa,1972,all,6.9,,132
7094,The Devil Bat,1940,,5.5,58%,68
7095,My Little Bride,2004,,7.1,,115
7096,Weightless,2017,18+,5.7,64%,129
7097,The Ghost Army,2013,7+,7.6,,68
7098,Legacy of Rage,1986,18+,6.1,,87
7099,Warriors Two,1978,18+,7.3,,95
7100,Toonstone,2015,,7.5,,81
7101,Seven Days in Utopia,2011,all,6,15%,100
7102,The Late Shift,1996,18+,6.8,,95
7103,Caught,2018,,4.3,67%,110
7104,In the Line of Duty 4,1989,18+,7.1,,94
7105,Five Minarets in New York,2010,,5.8,,119
7106,From the Hip,1987,7+,6.2,22%,111
7107,Ana Maria in Novela Land,2015,,5.6,50%,89
7108,Traded,2016,,5.1,40%,98
7109,The Last Sin Eater,2007,13+,5.6,19%,117
7110,Common,2014,,7.3,,90
7111,The Avenging Eagle,1978,18+,7.4,,90
7112,Scatter My Ashes at Bergdorf's,2013,13+,6.3,50%,93
7113,Crocodile Dundee in Los Angeles,2001,7+,4.8,11%,92
7114,A Little Help,2010,18+,5.6,41%,109
7115,Backlight,2010,,6.2,,90
7116,"Nancy, Please",2012,,5.6,89%,83
7117,Jonestown: Paradise Lost,2007,13+,7.2,,100
7118,Kadaikutty Singam,2018,7+,6.9,,149
7119,Sicario,1994,18+,6.5,,121
7120,The Christmas Toy,1986,all,8.1,,50
7121,Bloodrunners,2017,,4.9,,95
7122,Night on the Galactic Railroad,1985,,7.1,,113
7123,Greek Pete,2009,,5,58%,75
7124,3 Nights in the Desert,2014,18+,5.1,40%,90
7125,Alien Code,2017,7+,5.6,,97
7126,Indiscretion of an American Wife,1953,,6.2,38%,90
7127,In Search of Beethoven,2009,,7.5,92%,139
7128,The Loner,2016,,4.8,63%,100
7129,Return of the One-Armed Swordsman,1969,18+,7.2,,105
7130,An Unreal Dream: The Michael Morton Story,2013,,7.6,,90
7131,Tromeo & Juliet,1996,18+,6.1,,107
7132,"Fanny, Annie & Danny",2010,,6.3,67%,82
7133,You Wont Miss Me,2010,,4.9,64%,81
7134,Uncle Nino,2003,7+,6.7,21%,104
7135,Final Cut,1998,18+,6.1,,95
7136,Women in Trouble,2009,18+,5.7,29%,92
7137,The Solitude of Prime Numbers,2010,,6.3,,118
7138,Valdez Is Coming,1971,13+,6.8,,90
7139,The Go-Between,2015,,6.9,,116
7140,Bring Me the Head of the Machine Gun Woman,2012,,5.5,50%,73
7141,War Of The Worlds The True Story,2012,,7.5,,102
7142,The Four Year Plan,2011,,7.4,,99
7143,Dark Night,2017,,4.4,62%,89
7144,Sparrows,1926,,7.3,,99
7145,Amar Prem,1972,all,8.2,,143
7146,Slugs,1988,18+,5.2,38%,92
7147,The Mighty Peking Man,1977,13+,5.3,55%,86
7148,My Wife Is a Gangster 3,2006,,6.4,,115
7149,Captivated: The Trials of Pamela Smart,2014,16+,6.6,75%,98
7150,Salam Neighbor,2015,,7.4,,75
7151,Little Forest,2018,,7.1,,103
7152,Successive Slidings of Pleasure,1974,,6.3,,105
7153,Female Prisoner Scorpion: Jailhouse 41,1972,,7.1,,90
7154,An American Affair,2008,18+,6.2,16%,93
7155,Boys of Abu Ghraib,2014,18+,5.4,30%,102
7156,The Doors - Live at the Bowl '68,2012,,8.3,,135
7157,The Most Wonderful Time of the Year,2008,7+,7.3,,88
7158,Fuse: Memoirs of the Hunter Girl,2012,,7,,106
7159,The Monkey King,1964,,8.1,,119
7160,Somewhere Slow,2013,,5.3,56%,96
7161,Penance,2009,18+,3.4,80%,60
7162,The Sand,2015,16+,3.8,40%,84
7163,Mythica: The Godslayer,2016,,5.5,,118
7164,Red Hook Summer,2012,18+,4.9,58%,121
7165,Mr. Donkey,2016,,7.4,,113
7166,Escape Plan 2: Hades,2018,18+,3.8,,96
7167,Invasion of the Bee Girls,1973,18+,5,43%,86
7168,Acts of Violence,2018,18+,5.3,,86
7169,The Foul King,2000,,6.9,,112
7170,Dark Harbor,1999,18+,6.2,,91
7171,American Addict,2012,7+,6.9,,98
7172,Flowers for Algernon,2000,,6.7,,91
7173,Kissing Candice,2018,16+,5.2,73%,108
7174,Blood and Glory,2016,,6.6,,136
7175,Private Violence,2014,16+,6.9,90%,80
7176,Subject Two,2006,18+,5.4,55%,93
7177,Up the Creek,1984,18+,5.7,,96
7178,Trudell,2005,7+,7.2,33%,80
7179,Going to America,2015,,7.4,,90
7180,FAT: A Documentary,2019,,6.9,,95
7181,They Wait,2007,18+,5.3,40%,99
7182,Killing Kasztner,2008,,7,79%,120
7183,The Longest Distance,2013,,7.4,,113
7184,The Italian Connection,1972,18+,7.2,,95
7185,Tapped,2009,all,7.3,,105
7186,Kalank,2019,,3.6,38%,166
7187,No Rest for the Wicked,2011,,6.4,,114
7188,A Rumor of Angels,2000,13+,6.9,34%,106
7189,The Snowman and The Snowdog,2012,all,7.1,,24
7190,Doors Cut Down,2000,,7.3,,18
7191,Ethos,2011,,7.5,,78
7192,Range 15,2016,18+,5,,89
7193,The Satanic Rites of Dracula,1973,18+,5.6,,87
7194,Frat House,1998,,6.8,,60
7195,My Wife's Relations,1922,,6.6,,24
7196,Giuliani Time,2006,,6.5,85%,130
7197,When the Dragon Swallowed the Sun,2010,,7.4,60%,115
7198,Eaten Alive,1976,18+,5.5,29%,92
7199,Dirty,2005,18+,5.6,21%,97
7200,The Playroom,2013,,5.3,54%,83
7201,Weighed But Found Wanting,1974,,7.6,,126
7202,Wobble Palace,2018,,5.3,70%,86
7203,The Outrageous Sophie Tucker,2014,,7.5,74%,96
7204,Begum Jaan,2017,18+,5.6,10%,128
7205,The Forger,2012,13+,5.4,,92
7206,Dear Dictator,2018,,5,16%,90
7207,Carlin at Carnegie,1982,,8.2,,60
7208,Tashan,2008,7+,3.8,50%,120
7209,Miss Meadows,2014,,5.7,25%,88
7210,Tomorrow,2019,,8,,124
7211,The Sex Monster,1999,18+,5.2,33%,97
7212,Nostalgia,2018,18+,5.5,39%,125
7213,Ace High,1968,13+,6.7,,132
7214,Ktown Cowboys,2015,18+,6.7,33%,81
7215,Harvard Man,2001,18+,4.9,33%,99
7216,Do You Take This Man,2017,,5.6,,92
7217,Mullum Malarum,1978,,8.3,,143
7218,Psychonautics: A Comic's Exploration of Psychedelics,2018,,7,,81
7219,Terror Firmer,1999,18+,6.2,,124
7220,The Return of Swamp Thing,1989,13+,4.7,44%,88
7221,"Down, But Not Out!",2015,,9.3,,68
7222,To Live,2010,,7.2,,143
7223,House of Good and Evil,2013,13+,6.5,,108
7224,Ragamuffin,2014,13+,6.8,,137
7225,Revolver,1973,18+,7.1,,111
7226,Roth on Roth,2013,,7.4,63%,52
7227,Triple Dog,2010,18+,5.8,,95
7228,Sharknado 3: Oh Hell No!,2015,16+,4.1,36%,93
7229,Churchill's Secret,2016,7+,6.8,,100
7230,The Last Reef: Cities Beneath the Sea,2012,,7.4,,
7231,One Special Night,1999,7+,7.3,,92
