ID,Title,Year,Age,IMDb,Rotten Tomatoes,Runtime
182,Arthur Christmas,2011,7+,7.1,92%,97
183,The Rainmaker,1997,13+,7.2,83%,135
184,Winter on Fire: Ukraine's Fight for Freedom,2015,,8.4,88%,102
185,Always Be My Maybe,2019,13+,6.8,89%,101
186,The Crying Game,1992,18+,7.2,94%,112
187,War Horse,2011,13+,7.2,74%,146
188,Shot Caller,2017,18+,7.3,69%,121
189,The Invitation,2015,,6.6,88%,100
190,A Most Violent Year,2014,18+,7,89%,125
191,The Other Guys,2010,13+,6.6,78%,107
192,Kapoor & Sons,2016,13+,7.7,100%,132
193,On Body and Soul,2017,,7.6,89%,116
194,The Fundamentals of Caring,2016,18+,7.3,77%,97
195,Insidious,2010,13+,6.8,66%,103
196,Bill Burr: Paper Tiger,2019,18+,8.2,86%,67
197,Bad Boys,1995,18+,6.9,43%,119
198,The Foreigner,2017,18+,7,65%,113
199,The Danish Girl,2015,18+,7.1,67%,119
200,The Girl with All the Gifts,2016,18+,6.6,86%,111
201,Bird Box,2018,18+,6.6,63%,124
202,The Ring,2002,13+,7.1,71%,115
203,Hostiles,2017,18+,7.2,72%,134
204,Sairat,2016,,8.3,100%,174
205,Trumbo,2015,18+,7.5,74%,124
206,LA 92,2017,18+,8.2,92%,114
207,20th Century Women,2016,18+,7.3,88%,119
208,Kal Ho Naa Ho,2003,all,8,70%,186
209,Swiss Army Man,2016,18+,7,71%,97
210,In This Corner of the World,2016,13+,7.8,97%,129
211,A Ghost Story,2017,18+,6.9,91%,92
212,United 93,2006,18+,7.5,90%,111
213,Patriot Games,1992,18+,6.9,72%,117
214,The Secret Life of Pets 2,2019,7+,6.5,60%,86
215,Hitch,2005,13+,6.6,68%,118
216,The Young Offenders,2016,,7.1,100%,30
217,Enemy,2013,18+,6.9,71%,91
218,Mirage,2018,18+,7.4,71%,128
219,Everybody's Everything,2019,18+,7.4,100%,116
220,Indiana Jones and the Kingdom of the Crystal Skull,2008,13+,6.1,78%,122
221,The Guernsey Literary & Potato Peel Pie Society,2018,,7.4,81%,124
222,I Don't Feel at Home in This World Anymore,2017,18+,6.9,88%,93
223,The Endless,2018,,6.5,94%,111
224,Julie & Julia,2009,13+,7,77%,123
225,The Game Changers,2019,,7.9,70%,108
226,Under the Shadow,2016,13+,6.9,99%,84
227,Angel Has Fallen,2019,18+,6.4,39%,121
228,Kon-Tiki,2012,13+,7.2,81%,118
229,Mary Poppins Returns,2018,7+,6.7,79%,130
230,Kajaki,2014,18+,7.1,100%,108
231,The Fear of 13,2015,,7.7,94%,96
232,The Night Comes for Us,2018,18+,7,92%,121
233,Blood Father,2016,18+,6.4,89%,88
234,Stree,2018,7+,7.6,77%,128
235,American Factory,2019,16+,7.4,97%,110
236,Code 8,2019,,6.1,79%,98
237,Salt,2010,13+,6.4,62%,100
238,The Hundred-Foot Journey,2014,7+,7.3,67%,122
239,The Distinguished Citizen,2016,,7.5,100%,118
240,Scooby-Doo on Zombie Island,1998,all,7.8,86%,77
241,Chasing Coral,2017,,8.1,100%,93
242,The End of the Tour,2015,18+,7.3,92%,106
243,The One I Love,2014,18+,7.1,82%,91
244,Underworld,2003,18+,7,31%,121
245,The Death of Mr. Lazarescu,2005,18+,7.9,93%,153
246,Madagascar: Escape 2 Africa,2008,7+,6.6,64%,89
247,The Wolf's Call,2019,16+,6.9,92%,115
248,What Happened to Monday,2017,18+,6.9,59%,123
249,The Willoughbys,2020,7+,6.4,90%,90
250,The White Helmets,2016,16+,7.5,100%,41
251,Suburra,2015,,7.4,91%,50
252,The Matrix Revolutions,2003,18+,6.8,35%,129
253,Richard Pryor: Live in Concert,1979,18+,8.2,92%,78
254,Austin Powers: The Spy Who Shagged Me,1999,13+,6.6,52%,95
255,Get Him to the Greek,2010,18+,6.4,72%,109
256,Slow West,2015,18+,6.9,92%,84
257,The Meyerowitz Stories (New and Selected),2017,18+,6.9,93%,112
258,The Battered Bastards of Baseball,2014,,8,100%,80
259,The Perfection,2018,18+,6.1,83%,90
260,Ip Man 3,2015,13+,7.1,78%,105
261,Sinister,2012,18+,6.8,64%,110
262,Rush: Beyond the Lighted Stage,2010,,8.4,90%,107
263,20 Feet from Stardom,2013,13+,7.4,99%,91
264,The Stanford Prison Experiment,2015,18+,6.9,84%,122
265,My Week with Marilyn,2011,13+,7,83%,99
266,Catfish,2010,13+,7.1,80%,87
267,Secret Superstar,2017,,7.9,90%,150
268,Private Life,2018,,7.2,94%,123
269,Jarhead,2005,18+,7,61%,125
270,Yes Man,2008,13+,6.8,46%,104
271,For the Love of Spock,2016,,7.6,100%,111
272,Goon,2012,18+,6.8,81%,92
273,Ace Ventura: Pet Detective,1994,13+,6.9,48%,86
274,Inequality for All,2013,7+,8,90%,89
275,Olympus Has Fallen,2013,18+,6.5,49%,119
276,Dave Chappelle: Sticks & Stones,2019,18+,8.5,35%,65
277,John Mulaney: Kid Gorgeous at Radio City,2018,18+,7.9,100%,65
278,La Bamba,1987,13+,6.9,90%,108
279,Public Enemies,2009,18+,7,68%,140
280,Supersonic,2016,18+,7.9,84%,122
281,The Edge of Democracy,2019,16+,7.1,97%,121
282,The Polar Express,2004,all,6.6,56%,100
283,Under the Skin,2014,18+,6.3,85%,108
284,Crip Camp: A Disability Revolution,2020,18+,7.8,100%,106
285,Tell Me Who I Am,2019,,7.6,95%,85
286,Hey Arnold! The Jungle Movie,2017,7+,7.6,100%,81
287,Zack and Miri Make a Porno,2008,18+,6.5,65%,101
288,The Score,2001,18+,6.8,73%,124
289,Hamburger Hill,1987,18+,6.7,100%,110
290,9,2009,13+,7.1,57%,79
291,Undefeated,2011,13+,7.7,96%,113
292,Team Foxcatcher,2016,,7.3,100%,90
293,A Shaun the Sheep Movie: Farmageddon,2019,all,6.9,97%,86
294,April and the Extraordinary World,2015,7+,7.3,96%,105
295,The Highwaymen,2019,18+,6.9,57%,132
296,Legend,2015,18+,6.9,61%,132
297,Boy & the World,2014,7+,7.6,93%,80
